,City,Lat-Long 1,Lat-Long 2,Box size
2950,"('Hà Tĩnh', 'Vietnam')","('18.308026', '105.8599995')","('18.400809', '105.9433405')",13.529737768109143 km
2951,"('Al Kūfah', 'Iraq')","('31.87444', '44.2431125')","('32.19444', '44.5631125')",46.61274070896548 km
2952,"('Kimberley', 'South Africa')","('-28.7844279', '24.6741638')","('-28.6878933', '24.8114929')",17.159054030620904 km
2953,"('Tenāli', 'India')","('16.0777735', '80.4864219')","('16.3977735', '80.8064219')",49.23731551945321 km
2954,"('Skikda', 'Algeria')","('36.8385522', '6.844226')","('36.91846', '7.02798')",18.628347581174946 km
2955,"('Nantou', 'Taiwan')","('23.8785889', '120.6269414')","('23.9654565', '120.7348682')",14.605182227364589 km
2956,"('Siirt', 'Turkey')","('37.7673232', '41.7822042')","('38.0873232', '42.1022042')",45.31092825091445 km
2957,"('Kuytun', 'China')","('44.2645113', '84.7406885')","('44.5845113', '85.0606885')",43.74643864356258 km
2958,"('Osnabrück', 'Germany')","('52.2175488', '7.9297121')","('52.3374348', '8.1806602')",21.709875129573376 km
2959,"('Rio Largo', 'Brazil')","('-9.59', '-35.959')","('-9.374', '-35.769')",31.718273213958987 km
2960,"('Körfez', 'Turkey')","('40.720756', '29.7439402')","('40.800756', '29.8239402')",11.160452799862876 km
2961,"('Perugia', 'Italy')","('42.9934486', '12.1731207')","('43.2860719', '12.5650226')",45.53452416667791 km
2962,"('Oshawa', 'Canada')","('43.8320653', '-78.9587724')","('44.0474316', '-78.7879444')",27.58140486079567 km
2963,"('Klaipėda', 'Lithuania')","('55.6127871', '21.0750268')","('55.7965694', '21.2403273')",22.949382076722927 km
2964,"('Leverkusen', 'Germany')","('51.0111245', '6.8977575')","('51.0971925', '7.1160825')",18.055940655388792 km
2965,"('Tuluá', 'Colombia')","('3.8885153', '-76.3139105')","('4.1856544', '-75.8201554')",63.92059752130899 km
2966,"('Idlib', 'Syria')","('35.7678306', '36.4753017')","('36.0878306', '36.7953017')",45.767652338426394 km
2967,"('Warrington', 'United Kingdom')","('53.3499497', '-2.6343178')","('53.4299497', '-2.5543178')",10.373073826284596 km
2968,"('Sitalpur', 'India')","('25.3355721', '87.8905998')","('25.3755721', '87.9305998')",5.987155323858813 km
2969,"('Cienfuegos', 'Cuba')","('22.0204133', '-80.5646629')","('22.2272613', '-80.2708589')",37.99296727795873 km
2970,"('Proddatūr', 'India')","('14.5955953', '78.3901531')","('14.9155953', '78.7101531')",49.40427457934929 km
2971,"('Saqqez', 'Iran')","('36.2027456', '46.2305227')","('36.2827456', '46.3105227')",11.424181916823095 km
2972,"('Dourados', 'Brazil')","('-22.4414779', '-55.52')","('-21.8792714', '-54.200886')",149.6256723906324 km
2973,"('Huddersfield', 'United Kingdom')","('53.6066645', '-1.8222482')","('53.6866645', '-1.7422482')",10.356982857746107 km
2974,"('Fukang', 'China')","('43.9897919', '87.8084506')","('44.3097919', '88.1284506')",43.81449650730837 km
2975,"('Ube', 'Japan')","('33.7661299', '131.183532')","('34.166989', '131.4182075')",49.4717409859394 km
2976,"('Slough', 'United Kingdom')","('51.4679842', '-0.6601652')","('51.538905', '-0.4900443')",14.205366328998158 km
2977,"('Bhisho', 'South Africa')","('-32.8894444', '27.4063889')","('-32.8094444', '27.4863889')",11.610294852414622 km
2978,"('Chillán', 'Chile')","('-36.7504178', '-72.4730086')","('-36.5083681', '-71.8558675')",61.38650467984841 km
2979,"('Enterprise', 'United States')","('31.2651863', '-85.888582')","('31.3860627', '-85.777789')",17.053357774987802 km
2980,"('Odense', 'Denmark')","('55.2397225', '10.2252104')","('55.5597225', '10.5452104')",40.9906249683537 km
2981,"('Metro', 'Indonesia')","('-5.1787502', '105.2622023')","('-5.054534', '105.3592337')",17.448031452614668 km
2982,"('Ramat Gan', 'Israel')","('32.036093', '34.7991223')","('32.1055761', '34.8545946')",9.316561920878565 km
2983,"('Muridke', 'Pakistan')","('31.6410863', '74.0940999')","('31.9610863', '74.4140999')",46.661331115297635 km
2984,"('Ipswich', 'Australia')","('-27.865469', '152.382721')","('-27.490327', '152.940883')",68.99421124634603 km
2985,"('Ruse', 'Bulgaria')","('43.7798886', '25.9052856')","('43.8902435', '26.0672878')",17.89163757774737 km
2986,"('Myingyan', 'Burma')","('21.3379165', '95.2478175')","('21.7707994', '95.6307842')",62.21665983966454 km
2987,"('Chapecó', 'Brazil')","('-27.2495645', '-52.7236193')","('-26.988', '-52.4807523')",37.681054556086394 km
2988,"('Tema', 'Ghana')","('5.4996441', '-0.1696592')","('5.8196441', '0.1503408')",50.08928602958788 km
2989,"('‘Unayzah', 'Saudi Arabia')","('25.9931526', '43.9062595')","('26.1760064', '44.1033267')",28.268485322413007 km
2990,"('Barreiras', 'Brazil')","('-12.429', '-46.3973156')","('-11.619', '-44.5797248')",217.25911281509585 km
2991,"('Piedras Negras', 'Mexico')","('28.6397011', '-100.5900415')","('28.7424114', '-100.5004128')",14.363353451776051 km
2992,"('Itapetininga', 'Brazil')","('-23.8610978', '-48.4087611')","('-23.4080079', '-47.8071448')",79.28735045225511 km
2993,"('Pocheon', 'Korea, South')","('37.7469676', '127.0902998')","('38.1891946', '127.447343')",58.255125742055476 km
2994,"('Turgutlu', 'Turkey')","('38.3053031', '27.6095556')","('38.6196357', '27.9141022')",43.863352579063864 km
2995,"('Navsāri', 'India')","('20.792407', '72.7723831')","('21.112407', '73.0923831')",48.60922307506627 km
2996,"('Wau', 'South Sudan')","('7.5399269', '27.8310035')","('7.8599269', '28.1510035')",49.98772536301895 km
2997,"('Gölcük', 'Turkey')","('40.6761141', '29.7879563')","('40.7561141', '29.8679563')",11.163132688048067 km
2998,"('Muzaffargarh', 'Pakistan')","('29.9178083', '71.0288419')","('30.2378083', '71.3488419')",47.012309242240846 km
2999,"('Jizzax', 'Uzbekistan')","('40.0887632', '67.7589431')","('40.1841712', '67.9147445')",16.986274841143736 km
3000,"('Atyraū', 'Kazakhstan')","('46.5853806', '51.3854306')","('47.470107', '52.7302706')",141.85831334886126 km
3001,"('Simao', 'China')","('22.6672471', '100.8050146')","('22.9872471', '101.1250146')",48.32021230554757 km
3002,"('Mostar', 'Bosnia And Herzegovina')","('43.1824943', '17.6475104')","('43.5024943', '17.9675104')",44.013724663647544 km
3003,"('El Geneina', 'Sudan')","('13.2835', '22.2852278')","('13.6035', '22.6052278')",49.5394719969344 km
3004,"('Bandar-e Māhshahr', 'Iran')","('30.5177268', '49.1597454')","('30.5977268', '49.2397454')",11.729009497299678 km
3005,"('Manchester', 'United States')","('42.890351', '-71.5132028')","('43.0519225', '-71.3754311')",21.177814635290783 km
3006,"('Anaco', 'Venezuela')","('9.271216', '-64.6171388')","('9.591216', '-64.2971388')",49.877610791386026 km
3007,"('Sullana', 'Peru')","('-5.0235555', '-80.7371289')","('-4.6655507', '-80.3471013')",58.643142475233226 km
3008,"('Godhra', 'India')","('22.6185001', '73.4645157')","('22.9385001', '73.7845157')",48.32799792177909 km
3009,"('Zemun', 'Serbia')","('44.8225395', '20.2213764')","('44.9426876', '20.4520869')",22.59494112054453 km
3010,"('Mahābād', 'Iran')","('33.4852176', '52.1732573')","('33.5652176', '52.2532573')",11.574169057935169 km
3011,"('Budaun', 'India')","('27.8767001', '78.9634')","('28.1967001', '79.2834')",47.409194548551994 km
3012,"('Chittoor', 'India')","('13.0561224', '78.9372819')","('13.3761224', '79.2572819')",49.56168316003454 km
3013,"('Andong', 'Korea, South')","('36.2950662', '128.4291939')","('36.8230788', '129.0009927')",77.80385246524618 km
3014,"('Ash Shaţrah', 'Iraq')","('31.2503575', '46.0152772')","('31.5703575', '46.3352772')",46.742133305109654 km
3015,"('Moçâmedes', 'Angola')","('-15.355064', '11.9858085')","('-15.035064', '12.3058085')",49.35633470630502 km
3016,"('Rafsanjān', 'Iran')","('30.3271013', '55.9044455')","('30.4452701', '56.0690687')",20.541371898022238 km
3017,"('Benoni', 'South Africa')","('-26.2330356', '28.2682376')","('-26.1530356', '28.3482376')",11.937259969240541 km
3018,"('Heidelberg', 'Germany')","('49.3520029', '8.5731788')","('49.4596927', '8.7940496')",20.010053763837146 km
3019,"('Salihli', 'Turkey')","('38.442171', '28.1105853')","('38.522171', '28.1905853')",11.295464697289177 km
3020,"('Elektrostal', 'Russia')","('55.7489346', '38.3741256')","('55.8256195', '38.5295538')",12.960489005316841 km
3021,"('Bontang', 'Indonesia')","('-0.0363452', '117.311708')","('0.2836548', '117.631708')",50.209021742721895 km
3022,"('Đồng Hới', 'Vietnam')","('17.365662', '106.4923416')","('17.5299985', '106.6864028')",27.491392308930333 km
3023,"('Krishnanagar', 'India')","('23.2458481', '88.3358935')","('23.5658481', '88.6558935')",48.22671482373994 km
3024,"('Szeged', 'Hungary')","('46.1157964', '19.9724302')","('46.403952', '20.3085507')",41.200902132001836 km
3025,"('Sherbrooke', 'Canada')","('45.2999048', '-72.1087893')","('45.5240502', '-71.8025422')",34.57282798525485 km
3026,"('Solingen', 'Germany')","('51.1141951', '6.9513725')","('51.2203834', '7.1740807')",19.55027810072128 km
3027,"('Tacheng', 'China')","('46.5910282', '82.8238309')","('46.9110282', '83.1438309')",43.16570080421997 km
3028,"('Dhamār', 'Yemen')","('14.382997', '44.2400607')","('14.702997', '44.5600607')",49.426989598638094 km
3029,"('José María Ezeiza', 'Argentina')","('-34.8717026', '-58.5439703')","('-34.8311353', '-58.5025158')",5.884448465372856 km
3030,"('Bragança Paulista', 'Brazil')","('-23.051', '-46.72')","('-22.8155609', '-46.4046822')",41.543765222328084 km
3031,"('Ra’s al Khaymah', 'United Arab Emirates')","('25.6137705', '55.778232')","('25.9337705', '56.098232')",47.82367548660772 km
3032,"('Pindamonhangaba', 'Brazil')","('-23.071', '-45.6700449')","('-22.7027708', '-45.3077917')",55.17693597271452 km
3033,"('Dijon', 'France')","('47.2862467', '4.9624434')","('47.377486', '5.1020598')",14.63747098737563 km
3034,"('Livorno', 'Italy')","('43.4197864', '9.8881379')","('43.5954875', '10.4195121')",47.19644316205888 km
3035,"('Khōst', 'Afghanistan')","('33.1791402', '69.7606359')","('33.4991402', '70.0806359')",46.33660070106592 km
3036,"('Darmstadt', 'Germany')","('49.7956794', '8.5581201')","('49.9538139', '8.7497079')",22.338832352535135 km
3037,"('Saint-Marc', 'Haiti')","('18.9420269', '-72.859511')","('19.2620269', '-72.539511')",48.87294317845888 km
3038,"('Arad', 'Romania')","('46.060192', '21.1513602')","('46.2618206', '21.4146784')",30.26444160123565 km
3039,"('Khanpur', 'Pakistan')","('28.4877403', '70.496008')","('28.8077403', '70.816008')",47.292601854074384 km
3040,"('Matsuzaka', 'Japan')","('38.7627391', '140.1803104')","('38.7827391', '140.2003104')",2.8196153710005634 km
3041,"('Taunggyi', 'Burma')","('20.6307874', '96.8764294')","('20.9507874', '97.1964294')",48.63312073358185 km
3042,"('Bingöl', 'Turkey')","('38.7254117', '40.3366088')","('39.0454117', '40.6566088')",45.08732689361131 km
3043,"('San Nicolás de los Arroyos', 'Argentina')","('-33.4100768', '-60.2870894')","('-33.2858771', '-60.1659877')",17.799618572153136 km
3044,"('Huaycan', 'Peru')","('-12.0330378', '-76.8463767')","('-11.9930378', '-76.8063767')",6.209149403811866 km
3045,"('Tiraspol', 'Moldova')","('46.6189445', '29.5454075')","('46.889771', '29.9281028')",41.96841715601521 km
3046,"('Shahr-e Kord', 'Iran')","('32.3030776', '50.825868')","('32.3606063', '50.8955704')",9.152344329678352 km
3047,"('Talas', 'Turkey')","('38.5027878', '35.5310147')","('38.7203761', '35.8863358')",39.257843208039986 km
3048,"('Punta del Este', 'Uruguay')","('-34.9739344', '-54.957097')","('-34.9128513', '-54.9072488')",8.16439777232704 km
3049,"('Ekibastuz', 'Kazakhstan')","('50.9914516', '73.671068')","('52.5500889', '76.5003006')",261.1444069427596 km
3050,"('Trece Martires City', 'Philippines')","('14.1208727', '120.710649')","('14.4408727', '121.030649')",49.45456693364817 km
3051,"('Ōgaki', 'Japan')","('35.216733', '136.377267')","('35.41087', '136.690585')",35.71757564157263 km
3052,"('Hat Yai', 'Thailand')","('6.8426257', '100.2977414')","('7.1626257', '100.6177414')",50.02588396300771 km
3053,"('Chirchiq', 'Uzbekistan')","('41.42216', '69.5209874')","('41.5190589', '69.6391457')",14.602718492704017 km
3054,"('Catamarca', 'Argentina')","('-28.5563041', '-65.9521763')","('-28.2622876', '-65.7249535')",39.46507800039072 km
3055,"('Nakhodka', 'Russia')","('42.7339512', '132.7631155')","('42.8908985', '132.9926314')",25.619570823427754 km
3056,"('Jijiga', 'Ethiopia')","('9.1908526', '42.6403788')","('9.5108526', '42.9603788')",49.88320475223923 km
3057,"('Kramatorsk', 'Ukraine')","('48.6707305', '37.4569748')","('48.7867872', '37.6543868')",19.429107914744364 km
3058,"('Champaign', 'United States')","('40.061887', '-88.333345')","('40.16398', '-88.221223')",14.828219992652016 km
3059,"('Alexandria', 'United States')","('38.7851837', '-77.1443577')","('38.8449229', '-77.0370392')",11.439275207828988 km
3060,"('George', 'South Africa')","('-34.004444', '22.419722')","('-33.924444', '22.499722')",11.55042887693301 km
3061,"('Herne', 'Germany')","('51.5030645', '7.1238766')","('51.5733207', '7.2965')",14.302046065197283 km
3062,"('Ravenna', 'Italy')","('44.2131439', '12.0290885')","('44.6283408', '12.3481401')",52.67053249889537 km
3063,"('Zarzis', 'Tunisia')","('33.4636814', '11.0697651')","('33.5436814', '11.1497651')",11.575327879224501 km
3064,"('Hayward', 'United States')","('37.5478185', '-122.2190692')","('37.6899445', '-121.9203973')",30.72649735057242 km
3065,"('La Laguna', 'Spain')","('28.4318088', '-16.4109946')","('28.5793751', '-16.2672631')",21.574630341962695 km
3066,"('Saharsa', 'India')","('25.7158962', '86.4326702')","('26.0358962', '86.7526702')",47.80557356808892 km
3067,"('Stara Zagora', 'Bulgaria')","('42.2647421', '25.4657235')","('42.5847421', '25.7857235')",44.23867671343218 km
3068,"('Châu Đốc', 'Vietnam')","('10.6106918', '105.0227687')","('10.7656734', '105.1559673')",22.49940112640097 km
3069,"('Guimarães', 'Portugal')","('41.3618538', '-8.4357249')","('41.5692484', '-8.1883703')",30.944490530068308 km
3070,"('Harīpur', 'India')","('32.1258108', '77.1556974')","('32.1658108', '77.1956974')",5.823690613480989 km
3071,"('Springfield', 'United States')","('39.653656', '-89.773182')","('39.87417', '-89.56851')",30.116828210482026 km
3072,"('San Cristóbal', 'Mexico')","('16.575377', '-92.79873')","('16.895377', '-92.47873')",49.177923973253954 km
3073,"('Rafael Castillo', 'Argentina')","('-34.7426444', '-58.6495774')","('-34.6833655', '-58.5996512')",8.010153477302595 km
3074,"('Villanueva', 'Honduras')","('15.2757045', '-88.0332276')","('15.3557045', '-87.9532276')",12.335745022930919 km
3075,"('Gojra', 'Pakistan')","('32.3871932', '73.2988861')","('32.4271932', '73.3388861')",5.816834479325595 km
3076,"('Lakewood', 'United States')","('39.618317', '-105.109946')","('39.631339', '-105.0650573')",4.116374169234973 km
3077,"('Oxford', 'United Kingdom')","('51.7109788', '-1.3042472')","('51.7962658', '-1.1758134')",12.988597734702383 km
3078,"('Villeurbanne', 'France')","('45.7484524', '4.8583622')","('45.7955875', '4.9212614')",7.16807959642791 km
3079,"('Lafayette', 'United States')","('30.1239592', '-92.1077963')","('30.2964622', '-91.9713333')",23.201745968065744 km
3080,"('Fethiye', 'Turkey')","('38.604855', '38.115723')","('38.644855', '38.155723')",5.643561892419187 km
3081,"('Ŭiwang', 'Korea, South')","('37.3002177', '126.9292353')","('37.415619', '127.0468449')",16.510633567213812 km
3082,"('Navojoa', 'Mexico')","('26.9121872', '-109.6038227')","('27.2321872', '-109.2838227')",47.589241958043644 km
3083,"('Calama', 'Chile')","('-23.1567687', '-69.1941303')","('-21.0650383', '-67.9155493')",266.55186027829245 km
3084,"('Erzincan', 'Turkey')","('39.5896052', '39.3341023')","('39.9096052', '39.6541023')",44.88322935303895 km
3085,"('Middelburg', 'South Africa')","('-25.8078012', '29.4155234')","('-25.7278012', '29.4955234')",11.956195217615882 km
3086,"('Mandi Bahauddin', 'Pakistan')","('32.4246351', '73.3314169')","('32.7446351', '73.6514169')",46.49720538146304 km
3087,"('Zonguldak', 'Turkey')","('41.2924668', '31.6284596')","('41.6124668', '31.9484596')",44.47499395127716 km
3088,"('Isiro', 'Congo (Kinshasa)')","('2.6142702', '27.4608169')","('2.9342702', '27.7808169')",50.18025136822643 km
3089,"('Jinggangshan', 'China')","('26.3677468', '113.8372978')","('26.8366896', '114.4765817')",82.182083154427 km
3090,"('Jiutepec', 'Mexico')","('18.8417229', '-99.2167029')","('18.9217229', '-99.1367029')",12.225730615635088 km
3091,"('Batumi', 'Georgia')","('41.5312428', '41.5594872')","('41.7170258', '41.7456988')",25.818282287722404 km
3092,"('Pathānkot', 'India')","('32.1092452', '75.4928858')","('32.4292452', '75.8128858')",46.563599569919276 km
3093,"('Nazilli', 'Turkey')","('37.8697512', '28.2842062')","('37.9497512', '28.3642062')",11.328767438387768 km
3094,"('Frederick', 'United States')","('39.3926326', '-77.478087')","('39.475677', '-77.359292')",13.769906130482664 km
3095,"('Lajes', 'Brazil')","('-5.8999534', '-36.284752')","('-5.4338742', '-36.0625364')",57.11832507797497 km
3096,"('Piteşti', 'Romania')","('44.8174784', '24.7803874')","('44.89583', '24.9426712')",15.50344929689623 km
3097,"('Chlef', 'Algeria')","('36.0902947', '1.2595003')","('36.2488481', '1.4487204')",24.481643489420886 km
3098,"('Chetumal', 'Mexico')","('18.4902097', '-88.3577228')","('18.5635056', '-88.2611386')",13.031368790014835 km
3099,"('Rondonópolis', 'Brazil')","('-17.072', '-54.977')","('-16.07', '-54.235')",136.25916729258185 km
3100,"('Esmeraldas', 'Ecuador')","('0.8890515', '-79.7443772')","('0.9975016', '-79.632465')",17.290575639648342 km
3101,"('Angers', 'France')","('47.4373546', '-0.6176931')","('47.5262993', '-0.5082737')",12.876387582658815 km
3102,"('Hanam', 'Korea, South')","('37.3792918', '127.054948')","('37.6992918', '127.374948')",45.40064366498086 km
3103,"('Daiwanishi', 'Japan')","('34.8772467', '135.4068099')","('34.8972467', '135.4268099')",2.8749768175421253 km
3104,"('Matagalpa', 'Nicaragua')","('12.759304', '-86.0647379')","('13.1002679', '-85.6771801')",56.49381598585734 km
3105,"('Salzburg', 'Austria')","('47.7512115', '12.9856478')","('47.8543925', '13.1272842')",15.626384073379109 km
3106,"('Vidisha', 'India')","('23.3608128', '77.6463184')","('23.6808128', '77.9663184')",48.20790010025172 km
3107,"('Cẩm Phả', 'Vietnam')","('20.9090552', '107.169198')","('21.2222623', '107.4094295')",42.72982491092684 km
3108,"('Kariya', 'Japan')","('34.94739', '136.978797')","('35.069162', '137.068779')",15.810339328277982 km
3109,"('Tochigi', 'Japan')","('36.199682', '139.563841')","('36.497744', '139.812442')",39.89881379137986 km
3110,"('Lake Charles', 'United States')","('30.124501', '-93.316857')","('30.272203', '-93.1288414')",24.410585947259165 km
3111,"('Odessa', 'United States')","('31.79747', '-102.4420576')","('31.9631525', '-102.2481799')",25.96179519243964 km
3112,"('Nalgonda', 'India')","('16.8904406', '79.1069235')","('17.2104406', '79.4269235')",49.13946065823052 km
3113,"('Ordu', 'Turkey')","('40.8205304', '37.7239101')","('41.1405304', '38.0439101')",44.58889005810127 km
3114,"('San Cristóbal', 'Dominican Republic')","('18.2717288', '-70.2271332')","('18.558292', '-70.0512555')",36.76071344491124 km
3115,"('Tuscaloosa', 'United States')","('33.114897', '-87.661589')","('33.458866', '-87.242629')",54.57466270609976 km
3116,"('Neuss', 'Germany')","('51.1167565', '6.6148193')","('51.2356105', '6.798347')",18.427165115683305 km
3117,"('Miskolc', 'Hungary')","('48.0235629', '20.4816773')","('48.1549192', '20.8698736')",32.3983105667087 km
3118,"('Warner Robins', 'United States')","('32.522715', '-83.747754')","('32.666389', '-83.575866')",22.677085760434736 km
3119,"('Bartın', 'Turkey')","('41.4738394', '32.1784354')","('41.7938394', '32.4984354')",44.43107692792089 km
3120,"('Palmdale', 'United States')","('34.509813', '-118.287107')","('34.6610448', '-117.9160022')",37.956295705162226 km
3121,"('Melitopol’', 'Ukraine')","('46.7908855', '35.2929685')","('46.8901502', '35.4336895')",15.39483178514951 km
3122,"('Zango', 'Nigeria')","('13.0244225', '8.468464')","('13.075316', '8.557596')",11.187602409366475 km
3123,"('Tama', 'Japan')","('35.604698', '139.393498')","('35.657961', '139.4739366')",9.381540239515909 km
3124,"('Hollywood', 'United States')","('34.0780031', '-118.349523')","('34.1180031', '-118.309523')",5.771585499298356 km
3125,"('Bālurghāt', 'India')","('25.0634352', '88.6180654')","('25.3834352', '88.9380654')",47.920215198402865 km
3126,"('Midland', 'United States')","('31.9184063', '-102.2697973')","('32.1293873', '-102.0176654')",33.3864117840313 km
3127,"('Surigao', 'Philippines')","('9.6305543', '125.333335')","('9.9505543', '125.653335')",49.85202589702573 km
3128,"('Dibrugarh', 'India')","('27.3244597', '94.7419447')","('27.6444597', '95.0619447')",47.512887526562295 km
3129,"('Mahajanga', 'Madagascar')","('-15.8781492', '46.1572577')","('-15.5581492', '46.4772577')",49.297551336961774 km
3130,"('Salavat', 'Russia')","('53.3111804', '55.8153691')","('53.4510967', '55.9913884')",19.485289128085526 km
3131,"('Bandırma', 'Turkey')","('40.3100505', '27.934578')","('40.3900505', '28.014578')",11.18505826522397 km
3132,"('Leesburg', 'United States')","('28.6585302', '-81.9544081')","('28.8461617', '-81.7718258')",27.39459434700597 km
3133,"('Tuguegarao', 'Philippines')","('17.5122532', '121.6815337')","('17.6949046', '121.8219038')",25.112214768639976 km
3134,"('Gandajika', 'Congo (Kinshasa)')","('-6.8942539', '23.7914378')","('-6.5742539', '24.1114378')",50.039617556330775 km
3135,"('Silao', 'Mexico')","('20.783727', '-101.587043')","('21.103727', '-101.267043')",48.61051068211807 km
3136,"('Regensburg', 'Germany')","('48.9667457', '12.0290745')","('49.0764158', '12.1916078')",17.031451910423566 km
3137,"('Ueda', 'Japan')","('36.217194', '138.069068')","('36.554671', '138.413973')",48.58002995411045 km
3138,"('Port Arthur', 'United States')","('29.6411326', '-94.106597')","('30.032348', '-93.8113103')",51.91347875238626 km
3139,"('York', 'United Kingdom')","('53.7990555', '-1.2415361')","('54.1190555', '-0.9215361')",41.349615810412 km
3140,"('Palo Negro', 'Venezuela')","('10.2191856', '-67.0510344')","('10.2991856', '-66.9710344')",12.454322793272667 km
3141,"('Almetyevsk', 'Russia')","('54.8500741', '52.2035972')","('54.9508817', '52.4624232')",20.040894074105992 km
3142,"('Kafr ash Shaykh', 'Egypt')","('30.2365124', '29.8348713')","('32.2365124', '31.8348713')",292.3471083127101 km
3143,"('Noda', 'Japan')","('35.912941', '139.775949')","('36.104101', '139.951894')",26.4860611985962 km
3144,"('Seogwipo', 'Korea, South')","('33.0558675', '126.1549045')","('33.4831165', '127.0588484')",96.63380766948005 km
3145,"('Moanda', 'Congo (Kinshasa)')","('-5.9682219', '12.338028')","('-5.8882219', '12.418028')",12.519425831871729 km
3146,"('Tete', 'Mozambique')","('-16.263917', '33.4263706')","('-16.052541', '33.6625047')",34.422722116367325 km
3147,"('Mzuzu', 'Malawi')","('-11.6207518', '33.8626422')","('-11.3007518', '34.1826422')",49.72090436202657 km
3148,"('Harrow', 'United Kingdom')","('51.5530613', '-0.4040258')","('51.6405318', '-0.2671559')",13.588965854851004 km
3149,"('Poole', 'United Kingdom')","('50.6779472', '-2.021521')","('50.7579472', '-1.941521')",10.541346387396443 km
3150,"('Semnān', 'Iran')","('35.4234074', '53.2282906')","('35.7434074', '53.5482906')",45.84487083155259 km
3151,"('Kırşehir', 'Turkey')","('38.9861142', '34.0005587')","('39.3061142', '34.3205587')",45.02598964058121 km
3152,"('Muskegon', 'United States')","('43.203379', '-86.3482565')","('43.269701', '-86.1693721')",16.291735490799894 km
3153,"('Sievierodonetsk', 'Ukraine')","('48.922199', '38.4201029')","('48.9905112', '38.5526691')",12.327598622077167 km
3154,"('Guarapuava', 'Brazil')","('-25.6819783', '-52.0233681')","('-25.091771', '-51.09')",114.44151819966291 km
3155,"('Silchar', 'India')","('24.669588', '92.637148')","('24.989588', '92.957148')",47.988250283189004 km
3156,"('Macon', 'United States')","('32.660643', '-83.89205')","('32.9528742', '-83.48943')",49.721288942610386 km
3157,"('Kökshetaū', 'Kazakhstan')","('53.2249647', '68.997167')","('53.4015442', '69.5381878')",41.0664158297557 km
3158,"('Macaé', 'Brazil')","('-22.4387622', '-42.2660877')","('-22.1246375', '-41.6886144')",68.93247313696864 km
3159,"('Cairns', 'Australia')","('-17.0806657', '145.6121854')","('-16.7606657', '145.9321854')",49.15538411852455 km
3160,"('Yilan', 'Taiwan')","('24.7132671', '121.7270872')","('24.7844915', '121.7891496')",10.082432496508885 km
3161,"('Papantla de Olarte', 'Mexico')","('20.4324566', '-97.3372952')","('20.4594635', '-97.308566')",4.23401844533409 km
3162,"('Kansas City', 'United States')","('38.827176', '-94.765917')","('39.356662', '-94.385522')",67.36725833073939 km
3163,"('Shāntipur', 'India')","('23.0864', '88.2837')","('23.4064', '88.6037')",48.25267973580285 km
3164,"('Kukichūō', 'Japan')","('36.0580936', '139.6676599')","('36.0780936', '139.6876599')",2.8585092291594343 km
3165,"('Zabīd', 'Yemen')","('14.1551', '43.275181')","('14.2351', '43.355181')",12.365880940553058 km
3166,"('Peristéri', 'Greece')","('37.9962245', '23.6658899')","('38.0350856', '23.7183025')",6.307880914667885 km
3167,"('Hindupur', 'India')","('13.786383', '77.4537723')","('13.866383', '77.5337723')",12.375322645602617 km
3168,"('Sunnyvale', 'United States')","('37.329895', '-122.065265')","('37.4637361', '-121.98242')",16.566963211232142 km
3169,"('Baubau', 'Indonesia')","('-5.6220298', '122.4457655')","('-5.3020298', '122.7657655')",50.097490157652075 km
3170,"('Mudon', 'Burma')","('15.9606112', '97.4949988')","('16.412935', '97.8675214')",63.97109398856509 km
3171,"('Sayama', 'Japan')","('35.817707', '139.360885')","('35.9009486', '139.478305')",14.063779452383717 km
3172,"('Taza', 'Morocco')","('34.1930894', '-4.0435258')","('34.2451054', '-3.9682952')",9.019345686170787 km
3173,"('Settat', 'Morocco')","('32.95985', '-7.6794462')","('33.0360105', '-7.5765481')",12.799169941045205 km
3174,"('Imabari', 'Japan')","('33.901847', '132.784119')","('34.3096519', '133.2921312')",65.1415924687936 km
3175,"('Foggia', 'Italy')","('41.3326684', '15.4303224')","('41.6130277', '15.7888807')",43.20402318361828 km
3176,"('Erode', 'India')","('11.1706483', '77.5676519')","('11.4906483', '77.8876519')",49.731835950279425 km
3177,"('Poços de Caldas', 'Brazil')","('-21.995', '-46.69')","('-21.6450347', '-46.3990145')",49.0588325674923 km
3178,"('Gwangyang', 'Korea, South')","('34.8672008', '127.5251984')","('35.1837804', '127.7972121')",43.00877794120629 km
3179,"('Tororo', 'Uganda')","('0.6517855', '34.1390712')","('0.7317855', '34.2190712')",12.551828936477506 km
3180,"('Gonbad-e Kāvūs', 'Iran')","('37.2092965', '55.1259018')","('37.2892965', '55.2059018')",11.366857277808057 km
3181,"('Al Manāqil', 'Sudan')","('14.0867437', '32.8258537')","('14.4067437', '33.1458537')",49.4581225957973 km
3182,"('Miass', 'Russia')","('54.950821', '60.034298')","('55.1774822', '60.1883841')",27.085501151244387 km
3183,"('Tulancingo', 'Mexico')","('20.0521737', '-98.5021638')","('20.2122984', '-98.2465569')",32.070578944594224 km
3184,"('Nîmes', 'France')","('43.7412659', '4.2356708')","('43.9230177', '4.4496605')",26.53387389791893 km
3185,"('Chinandega', 'Nicaragua')","('12.5288695', '-87.1848219')","('12.8650522', '-86.8084836')",55.263203788242635 km
