,City,Lat-Long 1,Lat-Long 2,Box size
56,"('Hanoi', 'Vietnam')","('20.5645154', '105.2848986')","('21.3852777', '106.0200725')",118.75205417060096 km
57,"('Pune', 'India')","('18.429497', '73.7498473')","('18.6208699', '74.020214')",35.54766325359918 km
58,"('Chongqing', 'China')","('29.4047398', '106.3878767')","('29.7247398', '106.7078767')",47.114045948069574 km
59,"('Changchun', 'China')","('43.1599943', '124.0087362')","('45.251339', '127.0877885')",338.4316899927937 km
60,"('Zhumadian', 'China')","('32.2794385', '113.0893105')","('33.5333202', '115.2143655')",242.600535752885 km
61,"('Ningbo', 'China')","('28.6728596', '120.8753582')","('30.4691345', '122.5830446')",258.8830767193634 km
62,"('Onitsha', 'Nigeria')","('5.973234', '6.632318')","('6.293234', '6.952318')",50.068448096025634 km
63,"('Nanjing', 'China')","('31.2302006', '118.3345905')","('32.615778', '119.2395068')",175.86489991227091 km
64,"('Hefei', 'China')","('30.9530627', '116.6866913')","('32.5414862', '117.9687804')",213.9539437355689 km
65,"('Ahmadābād', 'India')","('22.8616238', '72.4197068')","('23.1816238', '72.7397068')",48.28902563582089 km
66,"('Khartoum', 'Sudan')","('15.386238', '32.4552665')","('15.8630151', '32.8469694')",67.43604266590143 km
67,"('Nantong', 'China')","('31.6581843', '120.1972876')","('32.7146663', '121.9746777')",204.48912045391143 km
68,"('Yancheng', 'China')","('32.5756029', '119.4539418')","('34.5321371', '120.9958647')",259.982559142001 km
69,"('Foshan', 'China')","('22.6452239', '112.3854945')","('23.576193', '113.3879656')",145.5162436874379 km
70,"('Nanning', 'China')","('22.2065209', '107.3245594')","('24.0347846', '109.6181782')",310.133260765501 km
71,"('Hengyang', 'China')","('26.8761183', '111.9960173')","('27.3729554', '112.7301979')",91.26415307593639 km
72,"('Xi’an', 'China')","('33.695219', '107.655623')","('34.7459524', '109.7914365')",228.7206025831515 km
73,"('Shenyang', 'China')","('41.1976943', '122.4167356')","('43.0402961', '123.8085417')",234.8023398840079 km
74,"('Tangshan', 'China')","('38.9143773', '117.4974113')","('40.4632588', '119.3040284')",231.48389011246326 km
75,"('Shaoyang', 'China')","('26.6778206', '110.9933088')","('27.2714344', '111.6707448')",94.07051097459733 km
76,"('Changsha', 'China')","('28.0702056', '112.7735861')","('28.3902056', '113.0935861')",47.372481369809215 km
77,"('Santiago', 'Chile')","('-33.4785698', '-70.692112')","('-33.425596', '-70.6249963')",8.570795996131224 km
78,"('Zhengzhou', 'China')","('34.2629201', '112.7142104')","('34.9877486', '114.2054503')",158.63509236160408 km
